BoW N most popular words
(100, 1, 0.7945390583137246, True)
(200, 1, 0.797521142511008, True)
(300, 1, 0.8024252731635719, True)
(400, 1, 0.8087389045500082, True)
(500, 1, 0.8129091629196468, True)
(600, 1, 0.8159844372480954, True)
(700, 1, 0.8206322950399553, True)
(800, 1, 0.8220068494746406, True)
(900, 1, 0.8229154532535005, True)
(1000, 1, 0.8244996854833073, True)
(1100, 1, 0.8262004053770706, True)
(1200, 1, 0.8270041702583696, True)
(1300, 1, 0.8280991542995597, True)
(1400, 1, 0.8296134939309927, True)
(1500, 1, 0.8302075810171703, True)

(1500, 0.1, 0.829217435873541, False)
(1500, 0.2, 0.8297183328285535, False)
(1500, 0.30000000000000004, 0.8298348204925099, False)
(1500, 0.4, 0.8300910933532138, False)
(1500, 0.5, 0.8300910933532138, False)
(1500, 0.6, 0.830184283484379, False)
(1500, 0.7000000000000001, 0.8301376884187964, False)
(1500, 0.8, 0.8300910933532138, False)
(1500, 0.9, 0.8302192297835659, True)
(1500, 1.0, 0.8302075810171703, False)
(1500, 1.1, 0.8302658248491485, True)
(1500, 1.2000000000000002, 0.8301260396524008, False)
(1500, 1.3000000000000003, 0.8303473662139179, True)
(1500, 1.4000000000000001, 0.8301609859515877, False)
(1500, 1.5000000000000002, 0.8301726347179834, False)

BoW N highest TFIDF
(0.7944691657153508, 100, 1, True)
(0.7974861962118212, 200, 1, True)
(0.8023670293315938, 300, 1, True)
(0.8087622020827995, 400, 1, True)
(0.812839270321273, 500, 1, True)
(0.8159494909489086, 600, 1, True)
(0.8206439438063509, 700, 1, True)
(0.8219602544090581, 800, 1, True)
(0.8231367798150175, 900, 1, True)
(0.8245113342497029, 1000, 1, True)
(0.8262702979754444, 1100, 1, True)
(0.8269808727255784, 1200, 1, True)
(0.8282738857954942, 1300, 1, True)
(0.8295901963982014, 1400, 1, True)
(0.8302425273163572, 1500, 1, True)

(0.8300328495212357, 1500, 0.1, True)
(0.8302308785499616, 1500, 0.2, True)
(0.8302774736155442, 1500, 0.30000000000000004, True)
(0.8302192297835659, 1500, 0.4, True)
(0.8302541760827529, 1500, 0.5, True)
